구 분(년도),총계,등급별(1급),등급별(2급),등급별(3급),성별(남),성별(여)
2003,684,107,293,284,67,617
2004,214,21,90,103,21,193
2005,343,21,171,151,45,298
2006,407,30,171,206,33,374
2007,474,1,177,296,28,446
2008,691,47,194,450,68,623
2009,771,15,239,517,79,692
2010,486,14,140,332,34,452
2011,735,19,298,418,44,691
2012,1292,29,335,928,99,1193
2013,1227,12,225,990,114,1113
2014,1982,15,409,1558,184,1798
2015,2147,52,564,1531,192,1955
2016,3010,39,830,2141,318,2692
2017,2724,88,1042,1594,301,2423
2018,2411,109,787,1515,292,2119
2019,3303,87,1593,1623,395,2908
2020,3463,179,1824,1460,408,3055
2021,3949,84,1558,2307,510,3439
