SEQ_NO,AREA_NM,ALL_CNSLT_CO,FAMILY_TY_CO,DVATN_TY_CO,SCHULWRK_COSE_TY_CO,SEX_TY_CO,TWDPSN_RLTN_TY_CO,CHARCT_TY_CO,MIND_HEALTH_TY_CO,LVLH_HABIT_ATTTD_TY_CO,ACT_TY_CO,PC_INTNT_TY_CO,SIMPL_INFO_PROVD_TY_CO
1,서울,758827,78683,71060,119812,12610,184396,47469,129715,8272,14681,37625,54504
2,부산,321413,32947,24596,51673,9449,81800,26815,40587,5070,546,26709,21221
3,대구,136540,15972,15817,16239,1341,34811,13789,9336,2549,189,17121,9376
4,인천,162143,12063,22182,19220,2086,27718,8864,41185,821,3336,11626,13042
5,광주,84521,10480,6939,11454,1352,15044,5474,8905,826,33,16220,7794
6,대전,95494,6171,12119,10554,1560,17873,6553,15430,309,752,8866,15307
7,울산,116253,11962,8967,18731,1559,34277,10696,13658,872,215,10224,5092
8,세종,13047,881,1690,1354,171,4974,274,2093,32,2,1466,110
9,경기,1107832,72369,107464,228042,10359,335253,76329,122396,14145,15593,66070,59812
10,강원,89992,6587,8959,18253,986,16454,6465,5768,1068,3803,14565,7084
11,충북,152053,7223,20899,31540,3697,28346,8147,16050,1711,2525,19452,12463
12,충남,241549,10780,27372,75094,8754,42982,11840,15566,1796,8443,27338,11584
13,전북,184650,184650,20484,55708,1822,34220,7760,21161,1108,6719,16776,10542
14,전남,146270,146270,23685,29289,3492,20948,11453,12983,1152,2404,19804,11775
15,경북,189928,189928,9982,46845,3928,52687,17410,14830,1676,1407,25957,3996
16,경남,437725,437725,27989,103587,6032,119429,37247,44032,5605,7316,33582,18126
17,제주,52314,52314,4681,8878,857,10847,4949,7918,204,153,4727,3100
18,합계,4290551,4290551,414885,846273,70055,1062059,301534,521613,47216,68117,358128,264928
