특성별(1),특성별(2),2021,2021,2021,2021,2021
특성별(1),특성별(2),사례수 (명),전혀 필요하지 않다 (%),필요하지 않다 (%),필요하다 (%),매우 필요하다 (%)
전체,소계,"4,140",11.7,20.4,41.4,26.5
성별,남자,"2,141",14.5,23.2,39.4,22.9
성별,여자,"1,999",8.6,17.5,43.6,30.3
연령,9~11세,248,18.9,31.9,31.8,17.3
연령,12~15세,"1,656",14.1,21.9,39.9,24.0
연령,16~18세,"2,236",9.0,18.1,43.6,29.3
기관유형,청소년상담복지센터(청소년 동반자),"1,134",10.6,20.5,43.3,25.5
기관유형,청소년 쉼터 및 자립지원관,682,6.6,19.8,39.4,34.3
기관유형,학교 밖 청소년지원센터,"1,281",7.6,14.1,47.1,31.1
기관유형,소년원 및 보호관찰소,535,24.1,31.5,28.7,15.7
기관유형,아동보호전문기관,473,17.0,25.6,40.0,17.4
기관유형,기타,36,30.3,21.2,26.0,22.6
