센터명,지역,분소이름,우편번호,주소,1388 상담전화,행정전화,팩스,홈페이지
서울시청소년상담복지센터,서울,,4543,서울특별시 중구 을지로 11길 23 7층,02-2285-1318,02-2285-1318,02-2285-1315,www.teen1318.or.kr
노원구청소년상담복지센터,서울,,1616,서울특별시 노원구 수락산로212-19 2층,02-2091-1388,02-2091-1388,050-2209-1313,www.nowonyouthcenter.org
양천구청소년상담복지센터,서울,,8067,"서울특별시 양천구 남부순환로83길 53, 신월6동 행정복합타운 2층",02-2646-8341,02-2646-8341,02-2646-8342,http://yangcheon1388.or.kr/
영등포구청소년상담복지센터,서울,,7317,"서울특별시 영등포구 도영로22길 36 해광빌딩 2,3층",02-2676-6114,02-844-0924,02-2636-2071,www.young1318.com
동작구청소년상담복지센터,서울,,7062,서울특별시 동작구 여의대방로 20길 61 시립보라매청소년센터 슬기동 2층,02-845-1388,02-834-1355,02-831-0365,http://djyc1388.or.kr/
강남구청소년상담복지센터,서울,,6362,서울특별시 강남구 광평로 144 (수서동 749) 2층,02-2226-8555,02-2226-3611,02-2226-1387,www.gnyc.or.kr
중랑구청소년상담복지센터,서울,,2254,서울특별시 중랑구 용마산로 217 청소년수련관 3층,02-496-1895,02-490-0222,02-496-1894,www.jn1318.or.kr
강북구청소년상담복지센터,서울,,1012,서울특별시 강북구 4.19로 74 강북청소년수련관 3층,02-6715-6661,02-6715-6661,02-6715-6668,www.gb1318.or.kr
도봉구청소년상담복지센터,서울,,1412,서울특별시 도봉구 노해로 69길 132 문화체육센터 1층,02-6956-4501,02-6956-4508,02-6956-4512,www.db1318.or.kr
성동구청소년상담복지센터,서울,,4718,서울특별시 성동구 행당로6길 24-15,02-2291-1388,02-2299-1388,02-2296-1389,https://www.sdfac.or.kr/
금천구청소년상담복지센터,서울,,8645,서울특별시 금천구 금하로 30길 54 (시흥동) 금천청소년수련관 2층,02-803-1873,02-803-1873,02-804-1387,www.gc1388.or.kr
서대문구청소년상담복지센터,서울,,3676,서울특별시 서대문구 증가로30길 45-9 휴먼센터 3~4층,02-3141-1318,02-3141-1318,02-334-0339,www.sdm7979.or.kr/
은평구청소년상담복지센터,서울,,3476,서울특별시 은평구 백련산로 4길 16 은평청소년수련관,02-384-1318,02-384-1318,02-383-0508,http://www.woori1318.or.kr/index_counseling.php
